iter	Passed	Remaining
290	480	1171
291	481	1167
292	482	1164
293	483	1160
294	484	1157
295	485	1153
296	485	1150
297	487	1147
298	488	1145
299	489	1142
300	490	1139
301	491	1135
302	492	1132
303	493	1129
304	494	1126
305	495	1122
306	496	1119
307	496	1116
308	497	1112
309	498	1109
310	499	1106
311	500	1103
312	501	1100
313	502	1098
314	504	1096
315	505	1093
316	506	1090
317	507	1087
318	507	1083
319	508	1080
320	509	1077
321	510	1074
322	511	1072
323	512	1069
324	513	1065
325	514	1062
326	515	1060
327	516	1058
328	518	1056
329	519	1054
330	520	1051
331	520	1048
332	521	1045
333	522	1042
334	523	1039
335	524	1036
336	525	1033
337	526	1030
338	527	1027
339	527	1024
340	528	1021
341	529	1018
342	530	1016
343	531	1014
344	533	1012
345	534	1009
346	534	1006
347	535	1003
348	536	1001
349	537	998
350	538	995
351	539	992
352	540	990
353	541	987
354	542	985
355	543	982
356	544	980
357	545	978
358	547	978
359	549	976
360	550	973
361	550	970
362	551	968
363	553	966
364	554	964
365	555	961
366	556	959
367	556	956
368	557	953
369	558	951
370	560	949
371	561	948
372	563	946
373	564	944
374	565	941
375	566	939
376	566	936
377	567	934
378	568	931
379	569	929
380	570	927
381	571	924
382	572	922
383	573	920
384	575	918
385	576	916
386	578	915
387	579	913
388	580	911
389	581	909
390	582	906
391	583	904
392	584	902
393	585	899
394	586	897
395	587	895
396	588	893
397	589	891
398	590	889
399	591	887
400	593	886
401	594	883
402	595	882
403	596	880
404	598	878
405	599	877
406	600	875
407	601	872
408	602	870
409	603	868
410	605	867
411	607	867
412	609	865
413	609	863
414	611	861
415	612	860
416	613	858
417	614	856
418	615	854
419	617	852
420	618	850
421	619	848
422	620	846
423	621	844
424	624	844
425	625	842
426	626	841
427	627	839
428	629	837
429	630	835
430	631	833
431	632	831
432	633	829
433	634	827
434	635	825
435	636	823
436	638	822
437	639	820
438	641	819
439	641	816
440	642	814
441	644	813
442	645	811
443	646	809
444	647	807
445	648	805
446	649	803
447	650	802
448	652	800
449	653	799
450	655	797
451	656	796
452	657	794
453	659	792
454	660	790
455	661	788
456	662	787
457	663	785
458	664	783
459	666	782
460	668	781
461	670	780
462	671	778
463	672	777
464	674	775
465	675	773
466	676	772
467	678	770
468	679	769
469	680	767
470	682	766
471	684	765
472	685	764
473	687	762
474	688	761
475	689	759
476	690	757
477	692	756
478	693	754
479	695	753
480	697	752
481	698	750
482	699	748
483	700	747
484	702	745
485	703	743
486	704	742
487	705	740
488	707	738
489	708	737
490	709	735
491	711	734
492	713	733
493	715	732
494	716	731
495	717	729
496	719	727
497	720	725
498	721	724
499	723	723
500	724	721
501	726	720
502	728	719
503	730	718
504	731	716
505	732	715
506	734	714
507	735	712
508	737	711
509	738	709
510	739	708
511	741	706
512	743	706
513	745	704
514	746	703
515	748	701
516	749	700
517	750	698
518	751	696
519	753	695
520	754	693
521	756	692
522	758	691
523	759	690
524	761	688
525	762	687
526	763	685
527	764	683
528	766	682
529	767	680
530	768	679
531	770	678
532	772	677
533	774	675
534	775	673
535	776	672
536	777	670
537	778	668
538	780	667
539	781	665
540	782	663
541	783	662
542	785	661
543	787	660
544	788	658
545	789	656
546	791	655
547	792	653
548	793	651
549	794	650
550	795	648
551	797	646
552	798	645
553	800	644
554	802	643
555	803	641
556	804	639
557	805	637
558	806	636
559	807	634
560	808	632
561	809	631
562	811	629
563	812	628
564	813	626
565	815	625
566	816	623
567	818	622
568	819	620
569	820	618
570	821	617
571	822	615
572	824	614
573	825	612
574	826	610
575	827	609
576	829	608
577	831	606
578	832	605
579	834	603
580	835	602
581	836	600
582	837	599
583	839	597
584	840	596
585	841	594
586	842	593
587	844	591
588	846	590
589	847	589
590	848	587
591	849	585
592	851	584
593	852	582
594	853	581
595	855	579
596	856	577
597	857	576
598	858	574
599	860	573
600	862	572
601	863	570
602	864	569
603	865	567
604	867	566
605	868	564
606	869	563
607	870	561
608	872	559
609	873	558
610	875	557
611	876	555
612	878	554
613	879	552
614	880	551
615	881	549
616	883	548
617	884	546
618	885	544
619	886	543
620	887	541
621	889	540
622	891	539
623	892	537
624	893	536
625	895	534
626	896	533
627	897	531
628	898	530
629	899	528
630	901	526
631	902	525
632	904	524
633	905	522
634	907	521
635	908	519
636	909	518
637	911	516
638	912	515
639	913	513
640	914	512
641	915	510
642	916	509
643	918	507
644	920	506
645	921	505
646	922	503
647	924	501
648	925	500
649	927	499
650	928	497
651	929	496
652	930	494
653	932	493
654	934	492
655	935	490
656	936	489
657	938	487
658	939	486
659	940	484
660	941	482
661	942	481
662	943	479
663	944	478
664	946	476
665	948	475
666	949	474
667	950	472
668	951	470
669	953	469
670	954	467
671	955	466
672	956	464
673	957	463
674	959	461
675	960	460
676	961	458
677	963	457
678	965	456
679	966	454
680	967	453
681	968	451
682	970	450
683	971	448
684	972	447
685	973	445
686	974	444
687	976	442
688	977	441
689	979	440
690	980	438
691	982	437
692	983	435
693	984	434
694	986	432
695	987	431
696	989	430
697	995	430
698	996	429
699	998	427
700	999	426
701	1001	425
702	1004	424
703	1006	423
704	1009	422
705	1011	421
706	1012	419
707	1014	418
708	1016	417
709	1018	415
710	1020	414
711	1021	413
712	1024	412
713	1026	411
714	1028	409
715	1029	408
716	1031	407
717	1032	405
718	1033	404
719	1035	402
720	1036	401
721	1038	399
722	1040	398
723	1042	397
724	1043	395
725	1045	394
726	1047	393
727	1048	391
728	1050	390
729	1051	388
730	1053	387
731	1054	386
732	1055	384
733	1057	383
734	1058	381
735	1059	380
736	1061	378
737	1062	377
738	1064	375
739	1065	374
740	1068	373
741	1069	371
742	1070	370
743	1072	368
744	1073	367
745	1074	365
746	1075	364
747	1077	362
748	1078	361
749	1080	360
750	1082	358
751	1084	357
752	1085	356
753	1086	354
754	1087	352
755	1088	351
756	1089	349
757	1091	348
758	1092	346
759	1093	345
760	1095	343
761	1097	342
762	1099	341
763	1100	339
764	1101	338
765	1102	336
766	1104	335
767	1105	333
768	1106	332
769	1108	330
770	1109	329
771	1111	328
772	1113	326
773	1114	325
774	1115	323
775	1117	322
776	1118	320
777	1119	319
778	1120	317
779	1121	316
780	1122	314
781	1124	313
782	1126	312
783	1128	310
784	1129	309
785	1130	307
786	1131	306
787	1133	304
788	1134	303
789	1135	301
790	1136	300
791	1137	298
792	1139	297
793	1141	296
794	1142	294
795	1143	293
796	1145	291
797	1146	290
798	1147	288
799	1148	287
800	1149	285
801	1150	284
802	1151	282
803	1152	281
804	1154	279
805	1156	278
806	1157	276
807	1159	275
808	1160	273
809	1161	272
810	1162	270
811	1163	269
812	1165	267
813	1166	266
814	1167	264
815	1168	263
816	1169	262
817	1171	260
818	1173	259
819	1174	257
820	1175	256
821	1176	254
822	1178	253
823	1179	251
824	1180	250
825	1181	248
826	1182	247
827	1183	245
828	1186	244
829	1187	243
830	1188	241
831	1189	240
832	1191	238
833	1192	237
834	1193	235
835	1194	234
836	1195	232
837	1197	231
838	1198	229
839	1200	228
840	1201	227
841	1203	225
842	1204	224
843	1205	222
844	1206	221
845	1207	219
846	1209	218
847	1210	216
848	1211	215
849	1212	213
850	1213	212
851	1215	211
852	1217	209
853	1218	208
854	1219	206
855	1220	205
856	1222	203
857	1223	202
858	1224	200
859	1225	199
860	1226	198
861	1227	196
862	1229	195
863	1231	193
864	1232	192
865	1234	190
866	1235	189
867	1236	188
868	1237	186
869	1238	185
870	1240	183
871	1241	182
872	1242	180
873	1243	179
874	1246	178
875	1247	176
876	1248	175
877	1249	173
878	1251	172
879	1252	170
880	1253	169
881	1254	167
882	1255	166
883	1257	164
884	1258	163
885	1260	162
886	1262	160
887	1263	159
888	1264	157
889	1265	156
890	1267	155
891	1268	153
892	1269	152
893	1270	150
894	1271	149
895	1273	147
896	1275	146
897	1276	145
898	1278	143
899	1279	142
900	1280	140
901	1281	139
902	1282	137
903	1283	136
904	1285	134
905	1286	133
906	1287	132
907	1289	130
908	1291	129
909	1292	127
910	1294	126
911	1295	124
912	1296	123
913	1297	122
914	1298	120
915	1300	119
916	1301	117
917	1302	116
918	1304	114
919	1306	113
920	1307	112
921	1308	110
922	1309	109
923	1311	107
924	1312	106
925	1313	104
926	1314	103
927	1315	102
928	1316	100
929	1318	99
930	1320	97
931	1322	96
932	1323	95
933	1324	93
934	1325	92
935	1326	90
936	1328	89
937	1329	87
938	1330	86
939	1331	85
940	1333	83
941	1335	82
942	1337	80
943	1338	79
944	1339	77
945	1340	76
946	1342	75
947	1343	73
948	1344	72
949	1345	70
950	1346	69
951	1348	67
952	1350	66
953	1351	65
954	1353	63
955	1354	62
956	1355	60
957	1357	59
958	1358	58
959	1359	56
960	1360	55
961	1362	53
962	1363	52
963	1365	50
964	1366	49
965	1368	48
966	1369	46
967	1370	45
968	1371	43
969	1373	42
970	1374	41
971	1375	39
972	1377	38
973	1379	36
974	1380	35
975	1381	33
976	1383	32
977	1384	31
978	1385	29
979	1386	28
980	1388	26
981	1389	25
982	1390	24
983	1391	22
984	1393	21
985	1394	19
986	1396	18
987	1397	16
988	1398	15
989	1400	14
990	1401	12
991	1402	11
992	1403	9
993	1405	8
994	1406	7
995	1408	5
996	1410	4
997	1411	2
998	1412	1
999	1413	0
